variant,seed,attention_type,position_mode,step,step_loss,train_loss,val_loss,relation_entropy,relation_max_weight,relation_logit_mean,relation_logit_std,logit_scale,pair_gate
standard_embedding,123,standard,embedding,0,,8.166136264801025,8.17833161354065,,,,,,
standard_embedding,123,standard,embedding,100,7.696543216705322,7.598222076892853,7.73482346534729,,,,,,
standard_embedding,123,standard,embedding,200,7.509474277496338,7.326899230480194,7.420901417732239,,,,,,
standard_embedding,123,standard,embedding,300,7.371159553527832,7.265708863735199,7.347347319126129,,,,,,
standard_embedding,123,standard,embedding,400,7.229030132293701,7.262231826782227,7.334474563598633,,,,,,
standard_embedding,123,standard,embedding,500,7.28967809677124,7.266599237918854,7.3226688504219055,,,,,,
standard_embedding,123,standard,embedding,600,7.354625225067139,7.273407936096191,7.322744429111481,,,,,,
standard_embedding,123,standard,embedding,700,7.342477798461914,7.279577851295471,7.316488683223724,,,,,,
standard_embedding,123,standard,embedding,800,7.329742431640625,7.281124234199524,7.3167349100112915,,,,,,
standard_embedding,123,standard,embedding,900,7.232277870178223,7.279452383518219,7.3115257024765015,,,,,,
standard_embedding,123,standard,embedding,1000,7.321246147155762,7.282123565673828,7.313291907310486,,,,,,
standard_embedding,123,standard,embedding,1100,7.399188041687012,7.2737957239151,7.317541062831879,,,,,,
standard_embedding,123,standard,embedding,1200,7.257327556610107,7.274923920631409,7.3125119805336,,,,,,
standard_embedding,123,standard,embedding,1300,7.240727424621582,7.271668970584869,7.314422070980072,,,,,,
standard_embedding,123,standard,embedding,1400,7.285258769989014,7.269718647003174,7.311838209629059,,,,,,
standard_embedding,123,standard,embedding,1500,7.2471923828125,7.271418929100037,7.3185184597969055,,,,,,
standard_embedding,123,standard,embedding,1600,7.335558891296387,7.281683623790741,7.320597887039185,,,,,,
standard_embedding,123,standard,embedding,1700,7.336213111877441,7.2783660888671875,7.31649249792099,,,,,,
standard_embedding,123,standard,embedding,1800,7.308917999267578,7.274409711360931,7.317545831203461,,,,,,
standard_embedding,123,standard,embedding,1900,7.460358142852783,7.269793152809143,7.312046229839325,,,,,,
standard_embedding,123,standard,embedding,2000,7.313296318054199,7.27478301525116,7.3106478452682495,,,,,,
triangular_embedding,123,triangular,embedding,0,,8.166435599327087,8.161416172981262,3.7641046047210693,0.0713493674993515,-0.0009942476463038474,0.1948470175266266,1.0,0.11920291930437088
triangular_embedding,123,triangular,embedding,100,7.753316879272461,7.627570688724518,7.740286827087402,3.758792281150818,0.073483407497406,0.038878535939147696,0.22800692915916443,1.0077882409095764,0.11965852975845337
triangular_embedding,123,triangular,embedding,200,7.5225067138671875,7.338681697845459,7.418790698051453,3.614559292793274,0.10204607993364334,1.0051696692826226,0.7244032248854637,1.0321794152259827,0.11998078227043152
triangular_embedding,123,triangular,embedding,300,7.353470325469971,7.270231127738953,7.345070898532867,3.43877637386322,0.13169214501976967,2.140992379980162,1.096709966659546,1.0455272793769836,0.12025577202439308
triangular_embedding,123,triangular,embedding,400,7.206494331359863,7.261387050151825,7.3310747146606445,3.3101837635040283,0.15417035296559334,3.248318781494163,1.4117543399333954,1.05398428440094,0.1202806793153286
triangular_embedding,123,triangular,embedding,500,7.298398971557617,7.267877638339996,7.320256471633911,3.257568836212158,0.16432254761457443,3.859189284266904,1.5200808495283127,1.058146357536316,0.12056145071983337
triangular_embedding,123,triangular,embedding,600,7.356009006500244,7.27400004863739,7.320888817310333,3.2139108180999756,0.1751074306666851,4.409884214634076,1.6323563903570175,1.0630834698677063,0.12066204100847244
triangular_embedding,123,triangular,embedding,700,7.344533443450928,7.282182335853577,7.31451553106308,3.1728663444519043,0.18332791700959206,4.910619021626189,1.6836988106369972,1.0666158199310303,0.12070572376251221
triangular_embedding,123,triangular,embedding,800,7.315639972686768,7.281992554664612,7.314169943332672,3.1811652183532715,0.18176768347620964,5.030227438081056,1.720140740275383,1.0661885738372803,0.12068713083863258
triangular_embedding,123,triangular,embedding,900,7.23008394241333,7.279224753379822,7.311036050319672,3.153916120529175,0.18687435239553452,5.329377039801329,1.754432775080204,1.0677792429924011,0.12085314840078354
triangular_embedding,123,triangular,embedding,1000,7.315133571624756,7.278970718383789,7.3097193241119385,3.1345757246017456,0.19247835129499435,5.638234843034297,1.7531343325972557,1.0705347657203674,0.12102597206830978
triangular_embedding,123,triangular,embedding,1100,7.3988037109375,7.274935007095337,7.316210150718689,3.1515520811080933,0.18860092014074326,5.514836845686659,1.7294609099626541,1.0686237812042236,0.12104709073901176
triangular_embedding,123,triangular,embedding,1200,7.25193452835083,7.275008797645569,7.308890700340271,3.1452735662460327,0.18836992979049683,5.753646102966741,1.7950312942266464,1.0715927481651306,0.12124761193990707
triangular_embedding,123,triangular,embedding,1300,7.23404598236084,7.273269712924957,7.313437640666962,3.148409366607666,0.18834400177001953,5.709823326673359,1.7250651121139526,1.0722864866256714,0.12133034691214561
triangular_embedding,123,triangular,embedding,1400,7.28701639175415,7.27117395401001,7.311159312725067,3.2052778005599976,0.1755632422864437,5.181148500647396,1.6650610491633415,1.0722858309745789,0.12125712633132935
triangular_embedding,123,triangular,embedding,1500,7.248081207275391,7.273828148841858,7.31469988822937,3.2219350337982178,0.17188406735658646,4.966643547639251,1.7480951026082039,1.0723812580108643,0.12123557925224304
triangular_embedding,123,triangular,embedding,1600,7.339502334594727,7.282012939453125,7.317400336265564,3.2465498447418213,0.16720282658934593,4.542317030020058,1.66575388610363,1.0718058943748474,0.12132283300161362
triangular_embedding,123,triangular,embedding,1700,7.335860252380371,7.279439330101013,7.316068887710571,3.2976714372634888,0.15673135966062546,3.953427223023027,1.5897549837827682,1.069570004940033,0.12130468338727951
triangular_embedding,123,triangular,embedding,1800,7.2973527908325195,7.276777148246765,7.313229203224182,3.3480985164642334,0.14709410816431046,3.457054358907044,1.5767354220151901,1.0697864890098572,0.12150411680340767
triangular_embedding,123,triangular,embedding,1900,7.466993808746338,7.271772086620331,7.309335649013519,3.411434769630432,0.13374115899205208,2.8367674448527396,1.4308881759643555,1.070728063583374,0.12151198461651802
triangular_embedding,123,triangular,embedding,2000,7.3125081062316895,7.279023706912994,7.308709800243378,3.4919787645339966,0.12082621455192566,1.9177297474816442,1.1046103686094284,1.066903829574585,0.12160841003060341
alternating_embedding,123,alternating,embedding,0,,8.179928660392761,8.180674195289612,3.764204502105713,0.07164033502340317,-0.0029983525164425373,0.19127242267131805,1.0,0.11920291930437088
alternating_embedding,123,alternating,embedding,100,7.749598503112793,7.623802721500397,7.757554888725281,3.7641804218292236,0.07131750136613846,0.02992888353765011,0.20120881497859955,1.0063999891281128,0.11900585889816284
alternating_embedding,123,alternating,embedding,200,7.496588706970215,7.3365225195884705,7.429105997085571,3.733556032180786,0.08039027452468872,0.4833119213581085,0.37819111347198486,1.0282243490219116,0.12019768357276917
alternating_embedding,123,alternating,embedding,300,7.367353916168213,7.270380675792694,7.351133346557617,3.684577226638794,0.09098437428474426,1.07978355884552,0.6941847801208496,1.04258131980896,0.12070587277412415
alternating_embedding,123,alternating,embedding,400,7.22230863571167,7.262457191944122,7.3344064354896545,3.650216817855835,0.09791336953639984,1.5048670768737793,0.9334332346916199,1.050335168838501,0.12097038328647614
alternating_embedding,123,alternating,embedding,500,7.300060272216797,7.267633557319641,7.3245808482170105,3.623124122619629,0.10377998650074005,1.7828984260559082,1.1041399240493774,1.054688572883606,0.1213989406824112
alternating_embedding,123,alternating,embedding,600,7.360545635223389,7.276150286197662,7.325203835964203,3.6145968437194824,0.10466643422842026,1.9466869831085205,1.2577385902404785,1.0576772689819336,0.12149552255868912
alternating_embedding,123,alternating,embedding,700,7.336226463317871,7.2846444845199585,7.317315399646759,3.579543113708496,0.11041727662086487,2.2934045791625977,1.7469650506973267,1.0630429983139038,0.12172462046146393
alternating_embedding,123,alternating,embedding,800,7.329814910888672,7.282359182834625,7.317665994167328,3.5523581504821777,0.11505206674337387,2.5657620429992676,2.1323211193084717,1.0655486583709717,0.12179899960756302
alternating_embedding,123,alternating,embedding,900,7.243415832519531,7.280645251274109,7.314443528652191,3.5662083625793457,0.1127060279250145,2.6207828521728516,2.0102460384368896,1.0650684833526611,0.12202935665845871
alternating_embedding,123,alternating,embedding,1000,7.318310737609863,7.280619859695435,7.313874304294586,3.578617811203003,0.11055336892604828,2.5085697174072266,1.9256290197372437,1.062430500984192,0.12207144498825073
alternating_embedding,123,alternating,embedding,1100,7.394764423370361,7.275622546672821,7.316681385040283,3.5967483520507812,0.10721966624259949,2.4728245735168457,1.7092820405960083,1.0606626272201538,0.12206854671239853
alternating_embedding,123,alternating,embedding,1200,7.249499320983887,7.276197254657745,7.312922120094299,3.5927278995513916,0.10898672044277191,2.327669382095337,1.714513897895813,1.0600930452346802,0.12215124070644379
alternating_embedding,123,alternating,embedding,1300,7.249237537384033,7.274182081222534,7.315374672412872,3.6048970222473145,0.10652539134025574,2.1987791061401367,1.6171528100967407,1.0580658912658691,0.12209080159664154
alternating_embedding,123,alternating,embedding,1400,7.278137683868408,7.271190583705902,7.314508855342865,3.6179654598236084,0.10387033224105835,1.977527141571045,1.434478759765625,1.0559089183807373,0.12225047498941422
